round,per_round_epsilon,accuracy,precision,recall,f1_score,roc_auc,pr_auc,num_samples
17,0.5,14.534415787816167,39788,,,,,,,
18,0.5,14.534415787816167,39788,,,,,,,
19,0.5,14.534415787816167,39788,,,,,,,
20,0.5,14.534415787816167,39788,0.5351362219764754,0.45949074074074076,0.17707404103479035,0.25563425627817127,0.5030528543083526,0.45233000271935525,9947
21,0.5,14.534415787816167,39788,,,,,,,
22,0.5,14.534415787816167,39788,,,,,,,
23,0.5,14.534415787816167,39788,,,,,,,
24,0.5,14.534415787816167,39788,,,,,,,
25,0.5,14.534415787816167,39788,,,,,,,
26,0.5,14.534415787816167,39788,,,,,,,
27,0.5,14.534415787816167,39788,,,,,,,
28,0.5,14.534415787816167,39788,,,,,,,
29,0.5,14.534415787816167,39788,,,,,,,
30,0.5,14.534415787816167,39788,0.45822861164170103,0.45264259549973834,0.9645405887600357,0.616140750765724,0.5035955735306676,0.4525768745719453,9947
31,0.5,14.534415787816167,39788,,,,,,,
32,0.5,14.534415787816167,39788,,,,,,,
33,0.5,14.534415787816167,39788,,,,,,,
